INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Sigle,Essence_latin,Essence_fr,Essence_ang,DHP,Date_Releve,Date_Plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Arbre_remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Longitude,Latitude
H,31708,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,22,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299454.406,5040971,-73.568412,45.508639
H,31709,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299451.064,5040965.717,-73.568455,45.508592
H,31707,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299457.358,5040975.805,-73.568374,45.508682
H,31706,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,27,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299460.393,5040980.67,-73.568335,45.508726
H,31710,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,28,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299447.939,5040960.539,-73.568495,45.508545
H,31711,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299444.591,5040955.405,-73.568537,45.508499
H,31705,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,27,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299463.607,5040986.161,-73.568294,45.508776
R,469185,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,,Fond de Trottoir,GYDI,Gymnocladus dioicus,Chicot du Canada,Kentucky Coffee Tree,5,2021-10-20T00:00:00,2021-10-20T00:00:00,25 m. au Nord de PRÉSIDENT-KENNEDY,N-25,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.6,3.7,L-V,06:30-07:30,184,N,,,299409.041,5040976.888,-73.568993,45.508692
H,31704,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,23,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299466.285,5040990.937,-73.56826,45.508819
H,31751,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299468.094,5040988,-73.568237,45.508792
H,31750,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,10,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299470.481,5040991.473,-73.568206,45.508823
H,31703,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,23,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299469.856,5040996.472,-73.568215,45.508868
H,31702,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,22,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299472.803,5041001.383,-73.568177,45.508913
H,31749,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,10,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299477.356,5041003.257,-73.568119,45.50893
H,31701,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,25,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299475.927,5041006.561,-73.568137,45.508959
H,31748,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,6,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299479.855,5041006.918,-73.568087,45.508962
H,31700,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,27,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299479.097,5041011.739,-73.568096,45.509006
R,258029,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2044,Parterre Gazonné,QURU,Quercus rubra,Chêne rouge,Red Oak,5,2016-10-12T00:00:00,2016-10-12T00:00:00,Devant le 2044,D-0,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.5,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299385.605,5040961.171,-73.569292,45.50855
H,31699,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,27,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299482.087,5041016.649,-73.568058,45.50905
R,195902,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 9 m du début de la façade",M-9,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299378.509,5040986.681,-73.569383,45.50878
R,256165,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2048,Parterre Gazonné,QURU,Quercus rubra,Chêne rouge,Red Oak,5,2016-10-12T00:00:00,2016-10-12T00:00:00,Devant le 2048,D-0,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.5,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299379.088,5040965.805,-73.569376,45.508592
R,337445,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,GIBI,Ginkgo biloba,Ginkgo à feuilles bilobées,Maidenhair Tree,5,2020-10-19T00:00:00,2020-10-19T00:00:00,"Devant le 2021, à 10 m du début de la façade",M-10,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.5,3.7,L-V,06:30-07:30,184,N,,,299375.74,5040987.614,-73.569419,45.508788
H,31747,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,8,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299486.864,5041018.39,-73.567997,45.509066
R,266600,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2054,Parterre Gazonné,AMCA,Amelanchier canadensis,Amélanchier du Canada,Downy Serviceberry,5,2016-10-03T00:00:00,2016-10-03T00:00:00,"Devant le 2054, à 1 m du début de la façade",M-1,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299374.66,5040968.514,-73.569433,45.508616
H,31698,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,28,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299485.212,5041021.648,-73.568018,45.509095
R,258019,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 18 m du début de la façade",M-18,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299373.44,5040989.701,-73.569448,45.508807
H,31746,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299489.363,5041022.273,-73.567965,45.509101
H,31697,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,30,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299488.247,5041026.915,-73.567979,45.509142
R,396865,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2058,Parterre Gazonné,ACSC,Acer saccharum,Érable à sucre,Sugar Maple,5,2020-10-19T00:00:00,2020-10-19T00:00:00,"Devant le 2058, à 1 m du début de la façade",M-1,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299367.945,5040972.919,-73.569518,45.508656
R,195903,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,23,2016-06-16T00:00:00,,"Devant le 2021, à 25 m du début de la façade",M-25,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299368.122,5040993.31,-73.569516,45.508839
R,266606,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2058,Parterre Gazonné,AMCA,Amelanchier canadensis,Amélanchier du Canada,Downy Serviceberry,5,2020-10-19T00:00:00,2020-10-19T00:00:00,"Devant le 2058, à 4 m du début de la façade",M-4,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299365.777,5040974.436,-73.569546,45.508669
H,31696,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299491.461,5041032.183,-73.567938,45.50919
R,258020,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,GIBI,Ginkgo biloba,Ginkgo à feuilles bilobées,Maidenhair Tree,5,2023-10-15T00:00:00,2023-10-15T00:00:00,"Devant le 2021, à 32 m du début de la façade",M-32,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.6,3.7,L-V,06:30-07:30,184,N,,,299361.854,5040996.797,-73.569597,45.50887
R,195904,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,30,2016-06-16T00:00:00,,"Devant le 2021, à 36 m du début de la façade",M-36,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299359.052,5040999.711,-73.569633,45.508897
H,31745,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,7,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299496.282,5041033.879,-73.567877,45.509205
H,31695,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,29,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299494.531,5041037,-73.567899,45.509233
H,31744,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299498.782,5041037.718,-73.567845,45.50924
R,258021,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 41 m du début de la façade",M-41,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299354.54,5041002.084,-73.56969,45.508918
H,31694,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299497.086,5041041.378,-73.567867,45.509273
R,195905,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,22,2016-06-16T00:00:00,,"Devant le 2021, à 48 m du début de la façade",M-48,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.9,3.7,L-V,06:30-07:30,184,N,,,299349.419,5041005.814,-73.569756,45.508952
H,31693,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,30,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299500.781,5041047,-73.567819,45.509323
H,31743,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,8,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299505.924,5041049.145,-73.567753,45.509343
R,270633,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2080,Parterre Gazonné,OSVI,Ostrya virginiana,Ostryer de Virginie,American Hop-Hornbeam Ironwood,5,2020-10-19T00:00:00,2020-10-19T00:00:00,"Devant le 2080, à 2 m du début de la façade",M-2,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299339.502,5040992.611,-73.569883,45.508833
H,31692,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299503.96,5041052.091,-73.567779,45.509369
R,258022,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 55 m du début de la façade",M-55,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299342.52,5041010.049,-73.569844,45.50899
H,31742,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299508.156,5041052.984,-73.567725,45.509377
R,195906,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,23,2016-06-16T00:00:00,,"Devant le 2021, à 60 m du début de la façade",M-60,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299339.365,5041012.875,-73.569885,45.509015
H,31691,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,28,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299507.442,5041057.359,-73.567734,45.509417
R,266612,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2082,Parterre Gazonné,AMCA,Amelanchier canadensis,Amélanchier du Canada,Downy Serviceberry,5,2016-10-03T00:00:00,2016-10-03T00:00:00,"Devant le 2082, à 5 m du début de la façade",M-5,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299331.569,5040997.844,-73.569984,45.50888
R,192310,6,Ville-Marie,Avenue du Président-Kennedy                                 ,N,,TRottoir,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,20,2019-11-29T00:00:00,2010-10-01T00:00:00,49 m. à l'Ouest de SAINT-URBAIN,O-49,,,SAINT-URBAIN RUE                                  ,JEANNE-MANCE RUE                                  ,1.35,3.05,,,184,N,,,299499.021,5041067.148,-73.567842,45.509505
R,71031,6,Ville-Marie,Avenue du Président-Kennedy                                 ,S,,TRottoir,ULXXHO,Ulmus x 'Homestead',Orme Homestead,Homestead Elm,26,2011-01-17T00:00:00,1996-05-01T00:00:00,59 m. à l'Ouest de JEANNE-MANCE,O-59,,,JEANNE-MANCE RUE                                  ,DE BLEURY RUE                                     ,0.9,,,,184,N,,,299401.511,5040881.148,-73.569088,45.50783
